Date,Open,High,Low,Close,Adj Close,Volume
2018-06-22,686.000000,692.799988,679.500000,691.150024,675.823975,1604665
2018-06-25,692.950012,699.900024,691.000000,696.150024,680.713074,1850829
2018-06-26,695.000000,699.900024,682.150024,687.849976,672.597107,1687463
2018-06-27,692.000000,716.900024,690.000000,714.250000,698.411682,5570107
2018-06-28,716.049988,721.750000,659.250000,664.250000,649.520447,8192199
2018-06-29,673.900024,675.799988,634.150024,655.450012,640.915588,10890801
2018-07-02,657.950012,669.500000,640.000000,657.200012,642.626770,4422723
2018-07-03,659.950012,666.200012,654.299988,660.849976,646.195801,3506534
2018-07-04,665.349976,665.400024,652.000000,654.500000,639.986633,2070241
2018-07-05,662.000000,663.049988,645.000000,646.650024,632.310730,2864186
2018-07-06,649.700012,651.049988,633.000000,634.900024,620.821289,5193752
2018-07-09,640.000000,648.349976,637.000000,643.849976,629.572815,1990065
2018-07-10,649.000000,661.000000,645.299988,650.750000,636.319824,3496172
2018-07-11,655.000000,669.799988,651.049988,654.400024,639.888916,5529491
2018-07-12,659.299988,664.000000,645.000000,647.700012,633.337463,3416881
2018-07-13,647.000000,655.000000,635.500000,641.049988,626.834900,3194276
2018-07-16,643.950012,661.549988,638.200012,657.299988,642.724548,2856991
2018-07-17,654.000000,664.900024,644.549988,646.799988,632.457397,2658597
2018-07-18,650.000000,654.900024,640.000000,646.299988,631.968445,2568607
2018-07-19,646.299988,654.950012,640.000000,642.200012,627.959412,1610766
2018-07-20,644.099976,661.750000,643.500000,659.450012,644.826904,2868824
2018-07-23,658.000000,660.950012,639.500000,648.549988,634.168579,3696991
2018-07-24,653.650024,654.900024,639.099976,641.500000,627.274902,3855335
2018-07-25,644.000000,646.150024,627.200012,631.349976,617.349976,2269581
2018-07-26,624.000000,634.599976,612.400024,632.049988,632.049988,3542338
2018-07-27,632.900024,649.650024,623.650024,645.099976,645.099976,3040306
2018-07-30,648.000000,658.750000,646.299988,655.450012,655.450012,3393232
2018-07-31,661.000000,684.900024,661.000000,680.750000,680.750000,9680690
2018-08-01,684.400024,687.500000,672.599976,681.099976,681.099976,2887901
2018-08-02,678.799988,683.349976,666.500000,669.000000,669.000000,1958340
2018-08-03,672.000000,674.950012,654.750000,662.750000,662.750000,2862463
2018-08-06,662.750000,672.950012,662.750000,667.099976,667.099976,2226904
2018-08-07,670.000000,674.750000,652.000000,658.750000,658.750000,2689721
2018-08-08,660.000000,666.900024,650.500000,653.900024,653.900024,2074919
2018-08-09,655.000000,658.500000,643.900024,646.200012,646.200012,2146227
2018-08-10,648.849976,649.799988,634.099976,645.950012,645.950012,3135726
2018-08-13,649.000000,667.700012,647.000000,659.950012,659.950012,5306724
2018-08-14,663.000000,677.500000,660.500000,672.799988,672.799988,5529769
2018-08-16,675.000000,680.700012,664.250000,668.650024,668.650024,3624795
2018-08-17,666.000000,690.000000,659.400024,687.700012,687.700012,3955484
2018-08-20,685.000000,697.500000,678.250000,687.950012,687.950012,3577624
2018-08-21,695.000000,717.099976,694.400024,709.400024,709.400024,7918861
2018-08-23,710.000000,738.000000,709.000000,726.650024,726.650024,11534012
2018-08-24,729.500000,737.000000,712.599976,718.549988,718.549988,3625878
2018-08-27,720.000000,742.000000,720.000000,737.950012,737.950012,2968641
2018-08-28,740.900024,748.900024,734.250000,736.099976,736.099976,3782709
2018-08-29,738.000000,741.250000,722.450012,734.450012,734.450012,3627848
2018-08-30,734.450012,737.000000,720.250000,731.900024,731.900024,4304298
2018-08-31,734.000000,768.750000,731.250000,765.799988,765.799988,7276056
2018-09-03,768.000000,776.500000,741.500000,745.650024,745.650024,3610990
2018-09-04,751.200012,766.900024,747.400024,763.900024,763.900024,4488658
2018-09-05,764.900024,779.349976,757.250000,766.150024,766.150024,6093648
2018-09-06,767.000000,780.000000,756.250000,775.049988,775.049988,3982477
2018-09-07,775.000000,775.000000,764.200012,772.200012,772.200012,2059329
2018-09-10,774.000000,776.599976,758.650024,766.250000,766.250000,2820247
2018-09-11,772.000000,773.799988,738.450012,747.200012,747.200012,3817364
2018-09-12,750.000000,751.900024,728.599976,739.799988,739.799988,3934021
2018-09-14,739.900024,761.799988,721.549988,760.450012,760.450012,3591403
2018-09-17,759.500000,772.750000,755.000000,767.549988,767.549988,2233000
2018-09-18,769.849976,769.849976,750.000000,754.700012,754.700012,2206998
2018-09-19,757.000000,772.000000,751.200012,769.950012,769.950012,2025718
2018-09-21,765.000000,769.349976,693.000000,738.049988,738.049988,4434535
2018-09-24,740.000000,764.000000,737.549988,751.450012,751.450012,2811682
2018-09-25,751.450012,772.700012,745.099976,758.750000,758.750000,2812964
2018-09-26,758.549988,768.150024,739.049988,748.849976,748.849976,3224771
2018-09-27,748.849976,758.950012,737.200012,746.049988,746.049988,3479414
2018-09-28,738.000000,756.000000,725.000000,745.500000,745.500000,2971384
2018-10-01,749.000000,763.500000,741.700012,759.549988,759.549988,2233369
2018-10-03,764.000000,780.799988,744.400024,750.150024,750.150024,5236214
2018-10-04,742.549988,742.900024,713.000000,719.849976,719.849976,6561009
2018-10-05,718.000000,723.900024,695.500000,714.500000,714.500000,4769105
2018-10-08,714.500000,719.400024,683.650024,694.900024,694.900024,2643927
