Company Name,Industry,Symbol,Series,ISIN Code
HCL Technologies Limited,IT,HCLTECH.NS,EQ,INE860A01027
Tech Mahindra Limited,IT,TECHM.NS,EQ,INE669C01036
Wipro Limited,IT,WIPRO.BO,EQ,INE075A01022
