Date,Open,High,Low,Close,Adj Close,Volume
2018-06-22,192.037994,194.475006,191.550003,193.462006,192.735687,248127
2018-06-25,194.175003,195.938004,192.188004,193.087006,192.362091,60140
2018-06-26,193.125000,195.000000,191.587006,192.938004,192.213654,135245
2018-06-27,194.925003,194.925003,190.500000,191.886993,191.166595,1657592
2018-06-28,192.000000,194.136993,191.925003,192.750000,192.026352,2538872
2018-06-29,194.550003,196.761993,191.438004,196.050003,195.313965,614661
2018-07-02,200.475006,200.475006,193.649994,195.712006,194.977234,63192
2018-07-03,194.363007,197.175003,194.100006,196.311996,195.574982,131224
2018-07-04,196.988007,197.850006,193.875000,197.061996,196.322159,178880
2018-07-05,196.500000,198.975006,195.375000,198.750000,198.003830,721191
2018-07-06,196.688004,198.750000,196.125000,197.250000,196.509460,104980
2018-07-09,197.250000,199.162994,196.800003,198.824997,198.078552,45255
2018-07-10,201.000000,205.350006,198.000000,203.324997,202.561646,146008
2018-07-11,204.750000,206.250000,202.087006,204.636993,203.868729,392531
2018-07-12,205.462006,211.050003,202.537994,209.625000,208.837997,177929
2018-07-13,209.587006,217.238007,208.988007,210.524994,209.734619,549239
2018-07-16,209.250000,215.100006,208.500000,212.324997,211.527863,339569
2018-07-17,212.250000,216.561996,211.500000,213.113007,212.312912,294251
2018-07-18,215.175003,215.587006,212.774994,213.074997,212.275040,1380149
2018-07-19,214.500000,216.600006,211.238007,213.938004,213.134811,181701
2018-07-20,214.875000,217.761993,210.787994,212.287994,211.490997,320695
2018-07-23,216.000000,216.000000,197.925003,207.037994,206.260712,562377
2018-07-24,209.550003,209.550003,201.975006,205.011993,204.242310,884429
2018-07-25,205.087006,207.449997,204.750000,205.988007,205.214661,110927
2018-07-26,206.850006,206.850006,202.912994,204.412994,203.645569,337115
2018-07-27,204.561996,206.399994,204.225006,205.875000,205.102081,101335
2018-07-30,205.837006,205.837006,201.975006,205.087006,204.317047,628357
2018-07-31,205.125000,208.011993,203.511993,207.600006,206.820602,485741
2018-08-01,208.425003,208.500000,205.350006,207.712006,206.932190,131479
2018-08-02,208.386993,210.074997,205.912994,209.287994,208.502258,385271
2018-08-03,209.475006,210.412994,207.863007,208.613007,207.829803,296721
2018-08-06,208.875000,211.500000,206.399994,207.524994,206.745880,241443
2018-08-07,207.524994,209.250000,206.738007,207.975006,207.194199,292084
2018-08-08,208.500000,209.250000,205.761993,208.688004,207.904526,384632
2018-08-09,207.675003,210.449997,206.699997,209.175003,208.389694,441592
2018-08-10,209.250000,209.699997,207.113007,209.287994,208.502258,364053
2018-08-13,210.750000,213.412994,207.074997,212.024994,211.228989,480725
2018-08-14,213.000000,215.100006,211.350006,213.300003,212.499207,205577
2018-08-16,214.386993,214.386993,208.500000,209.886993,209.099014,609336
2018-08-17,211.725006,211.725006,208.500000,209.699997,208.912720,129535
2018-08-20,210.000000,214.725006,210.000000,213.225006,212.424484,172493
2018-08-21,215.962006,220.800003,213.449997,216.375000,215.562653,372071
2018-08-23,216.750000,219.675003,216.337006,217.125000,216.309845,448085
2018-08-24,218.175003,221.100006,215.250000,219.225006,218.401962,1174211
2018-08-27,219.675003,223.050003,218.061996,222.375000,221.540131,1084723
2018-08-28,224.250000,224.250000,220.761993,221.925003,221.091827,267736
2018-08-29,222.750000,223.125000,220.011993,222.712006,221.875870,435296
2018-08-30,223.500000,224.699997,220.688004,224.136993,223.295517,336915
2018-08-31,225.000000,229.875000,224.774994,226.238007,225.388641,352289
2018-09-03,246.000000,246.000000,230.399994,231.863007,230.992523,1997493
2018-09-04,232.500000,236.100006,232.125000,235.162994,234.280121,688065
2018-09-05,236.250000,239.774994,236.212006,238.537994,237.642441,619497
2018-09-06,239.250000,241.386993,238.537994,240.337006,239.434708,415916
2018-09-07,241.462006,246.000000,239.250000,243.037994,242.125549,1914980
2018-09-10,243.375000,245.962006,242.250000,243.675003,242.760162,444315
2018-09-11,245.962006,245.962006,241.800003,242.511993,241.601532,198388
2018-09-12,243.000000,247.500000,243.000000,246.488007,245.562607,295304
2018-09-14,247.274994,250.238007,243.149994,247.613007,246.683395,267599
2018-09-17,248.250000,251.925003,246.000000,246.863007,245.936203,335064
2018-09-18,246.750000,250.500000,243.824997,249.375000,248.438766,673792
2018-09-19,251.175003,251.250000,245.399994,249.561996,248.625061,199276
2018-09-21,249.488007,254.287994,245.811996,253.011993,252.062103,1061331
2018-09-24,249.375000,253.500000,248.212006,249.449997,248.513489,575499
2018-09-25,249.750000,250.425003,245.550003,247.125000,246.197220,1053967
2018-09-26,246.412994,246.412994,238.500000,239.925003,239.024246,790876
2018-09-27,240.750000,242.738007,238.274994,240.449997,239.547272,877367
2018-09-28,239.962006,244.912994,236.625000,243.149994,242.237137,646912
2018-10-01,242.962006,249.188004,242.175003,248.136993,247.205414,262707
2018-10-03,247.613007,248.136993,242.100006,245.962006,245.038589,343183
2018-10-04,243.750000,247.988007,241.199997,244.274994,243.357910,799037
2018-10-05,244.500000,245.662994,240.449997,243.975006,243.059052,199043
2018-10-08,241.125000,242.363007,234.899994,238.761993,237.865601,342477
2018-10-09,238.500000,242.100006,233.850006,240.149994,239.248398,1570881
2018-10-10,241.311996,241.311996,233.212006,237.636993,236.744827,1051372
2018-10-11,231.824997,236.287994,228.824997,234.787994,233.906525,399093
2018-10-12,234.975006,249.787994,232.425003,237.000000,236.110229,406411
2018-10-15,237.225006,249.750000,235.800003,240.300003,239.397842,444373
2018-10-16,243.712006,243.712006,237.188004,240.113007,239.211548,759655
2018-10-17,243.600006,246.600006,237.750000,243.000000,242.087708,633645
2018-10-19,243.750000,243.750000,238.238007,242.287994,241.378372,126913
2018-10-22,248.250000,248.250000,237.000000,241.462006,240.555481,246111
2018-10-23,239.662994,240.188004,229.311996,231.975006,231.104095,437391
2018-10-24,232.649994,233.850006,224.962006,231.863007,230.992523,473793
2018-10-25,223.500000,243.524994,220.500000,239.511993,238.612793,1334023
2018-10-26,239.175003,241.837006,236.886993,238.949997,238.052902,754905
2018-10-29,242.774994,248.475006,236.250000,246.449997,245.524750,418711
2018-10-30,245.324997,251.024994,244.500000,246.188004,245.263733,589235
2018-10-31,246.188004,250.238007,241.949997,248.625000,247.691589,145140
2018-11-01,248.625000,249.712006,242.250000,247.462006,246.532959,220987
2018-11-02,246.750000,248.399994,238.087006,239.324997,238.426498,828513
2018-11-05,237.675003,244.238007,235.649994,242.962006,242.049850,553323
2018-11-06,242.962006,244.875000,241.087006,243.787994,242.872742,334153
2018-11-07,243.824997,245.061996,243.375000,244.050003,243.133759,29081
2018-11-09,246.000000,246.000000,238.500000,243.675003,242.760162,494753
2018-11-12,243.675003,244.949997,241.500000,242.850006,241.938263,247732
2018-11-13,241.800003,245.587006,241.238007,244.537994,243.619919,226196
2018-11-14,244.500000,244.688004,239.212006,243.524994,242.610718,232855
2018-11-15,240.000000,247.500000,240.000000,242.962006,242.049850,892628
2018-11-16,243.524994,247.725006,242.886993,244.462006,243.544220,333619
2018-11-19,244.462006,250.574997,241.011993,247.688004,246.758102,859229
2018-11-20,248.399994,248.399994,240.261993,241.274994,240.369171,116509
2018-11-21,241.500000,241.500000,234.938004,235.537994,234.653717,173815
2018-11-22,237.675003,238.988007,229.725006,230.587006,229.721313,370151
2018-11-26,228.449997,239.774994,227.250000,239.136993,238.239197,556777
2018-11-27,237.375000,241.500000,233.212006,233.925003,233.046768,185568
2018-11-28,238.500000,238.500000,231.975006,232.800003,231.925995,181948
2018-11-29,235.500000,237.712006,232.386993,236.212006,235.325195,378448
2018-11-30,234.000000,244.500000,234.000000,243.636993,242.722305,270712
2018-12-03,244.125000,246.863007,242.438004,246.149994,245.225876,338149
2018-12-04,245.250000,255.600006,244.462006,250.875000,249.933136,661653
2018-12-05,248.287994,253.912994,246.375000,251.886993,250.941330,289529
2018-12-06,251.625000,252.300003,246.600006,248.774994,247.841019,379136
2018-12-07,251.100006,252.412994,243.488007,250.649994,249.708969,278837
2018-12-10,247.350006,252.074997,244.125000,245.475006,244.553421,610872
2018-12-11,244.500000,250.725006,244.050003,246.712006,245.785767,366063
2018-12-12,247.500000,248.925003,246.300003,247.537994,246.608658,129879
2018-12-13,249.712006,258.000000,246.899994,254.061996,253.108170,447295
2018-12-14,254.061996,257.212006,249.225006,249.824997,248.887070,349303
2018-12-17,252.675003,255.938004,250.800003,254.850006,253.893219,587131
2018-12-18,253.350006,253.613007,249.524994,251.550003,250.605606,193740
2018-12-19,254.024994,256.649994,248.662994,255.524994,254.565674,419884
2018-12-20,253.425003,255.000000,249.188004,250.162994,249.223801,170985
2018-12-21,254.250000,254.250000,231.675003,239.587006,238.687515,859951
2018-12-24,246.412994,247.688004,241.350006,245.475006,244.553421,670681
2018-12-26,245.250000,245.438004,239.550003,244.350006,243.432632,159389
2018-12-27,244.875000,248.399994,242.511993,245.587006,244.664993,599027
2018-12-28,246.074997,250.011993,244.613007,248.287994,247.355835,426643
2018-12-31,247.500000,250.425003,243.899994,247.688004,246.758102,125125
2019-01-01,250.875000,250.875000,244.125000,245.738007,244.815430,75085
2019-01-02,245.399994,248.399994,242.399994,243.824997,242.909607,567801
2019-01-03,245.250000,245.962006,242.324997,244.050003,243.133759,587851
2019-01-04,244.274994,245.061996,239.962006,242.699997,241.788818,191961
2019-01-07,243.000000,247.462006,242.061996,243.149994,242.237137,145895
2019-01-08,243.188004,245.511993,241.912994,244.386993,243.469482,149063
2019-01-09,244.425003,249.412994,243.449997,246.824997,245.898331,341812
2019-01-10,247.500000,248.511993,242.550003,244.912994,243.993515,459197
2019-01-11,245.250000,246.824997,242.738007,246.074997,245.151154,75640
2019-01-14,247.500000,247.725006,234.149994,235.011993,234.129684,735555
2019-01-15,239.625000,249.300003,236.438004,248.212006,247.280136,1395056
2019-01-16,249.225006,254.774994,246.938004,253.125000,252.174683,1135508
2019-01-17,252.375000,253.988007,249.375000,252.300003,251.352783,702627
2019-01-18,252.300003,261.337006,250.462006,259.649994,258.675171,575665
2019-01-21,256.500000,258.600006,250.274994,253.125000,252.174683,1059429
2019-01-22,252.750000,262.350006,252.300003,259.837006,258.861481,503639
2019-01-23,261.450012,266.587006,260.962006,263.399994,262.411102,617435
2019-01-24,264.000000,264.750000,260.024994,264.149994,263.158295,376777
2019-01-25,262.125000,268.763000,261.487000,264.862000,263.867615,395232
2019-01-28,267.000000,271.725006,265.125000,266.362000,265.362000,382915
2019-01-29,266.737000,269.812012,264.937988,268.950012,268.950012,149656
2019-01-30,270.000000,275.587006,268.837006,271.875000,271.875000,252256
2019-01-31,275.250000,278.212006,272.774994,276.975006,276.975006,235221
2019-02-01,277.500000,279.450012,272.662994,278.513000,278.513000,217392
2019-02-04,277.500000,281.100006,276.187988,278.325012,278.325012,165957
2019-02-05,278.399994,279.000000,274.575012,276.412994,276.412994,209223
2019-02-06,276.299988,281.100006,276.263000,279.037994,279.037994,311517
2019-02-07,280.500000,280.875000,277.424988,280.237000,280.237000,107219
2019-02-08,279.375000,281.174988,277.500000,279.299988,279.299988,55995
2019-02-11,279.299988,282.750000,277.500000,279.375000,279.375000,149321
2019-02-12,279.750000,281.475006,276.375000,280.725006,280.725006,162309
2019-02-14,283.500000,283.725006,280.725006,281.513000,281.513000,86700
2019-02-15,280.500000,283.424988,277.649994,281.662994,281.662994,111572
2019-02-18,283.125000,283.612000,277.500000,281.662994,281.662994,177895
2019-02-19,280.274994,281.174988,271.424988,274.537994,274.537994,1368117
2019-02-20,273.000000,280.500000,271.087006,279.337006,279.337006,167704
2019-02-21,277.500000,282.375000,277.500000,280.875000,280.875000,145863
2019-02-22,280.799988,285.000000,279.750000,284.250000,284.250000,102735
2019-02-25,284.774994,297.000000,284.774994,289.537994,289.537994,224567
2019-02-26,289.537994,291.600006,285.000000,290.399994,290.399994,170835
2019-02-27,285.000000,287.437988,278.625000,280.162994,280.162994,480488
2019-02-28,281.250000,282.562012,275.812012,277.500000,277.500000,368712
2019-03-01,277.500000,283.500000,274.200012,281.625000,281.625000,543523
2019-03-05,282.000000,282.000000,270.899994,272.700012,272.700012,925345
2019-03-06,276.700012,285.399994,274.000000,277.399994,277.399994,896445
2019-03-07,279.899994,279.899994,267.850006,268.799988,268.799988,1545820
2019-03-08,261.700012,261.750000,255.600006,256.500000,256.500000,46621345
2019-03-11,258.149994,260.500000,257.399994,259.649994,259.649994,400866
2019-03-12,261.500000,263.299988,260.399994,261.250000,261.250000,273214
2019-03-13,263.000000,265.250000,256.500000,257.750000,257.750000,390107
2019-03-14,259.750000,259.750000,255.000000,256.799988,256.799988,250941
2019-03-15,257.100006,263.500000,257.100006,262.700012,262.700012,279886
2019-03-18,263.950012,264.500000,256.049988,257.700012,257.700012,1825180
2019-03-19,257.700012,258.600006,255.100006,257.600006,257.600006,243828
2019-03-20,258.000000,263.000000,258.000000,261.549988,261.549988,330711
2019-03-22,262.000000,263.799988,257.000000,260.450012,260.450012,198083
2019-03-25,261.299988,261.500000,256.049988,256.649994,256.649994,161776
2019-03-26,257.000000,258.299988,253.399994,254.949997,254.949997,188451
2019-03-27,255.500000,256.500000,253.750000,254.500000,254.500000,89995
2019-03-28,255.949997,257.899994,253.800003,254.600006,254.600006,227523
2019-04-01,255.000000,263.700012,255.000000,261.799988,261.799988,274691
2019-04-02,262.500000,264.049988,260.950012,261.600006,261.600006,177564
2019-04-03,263.000000,263.000000,258.350006,261.500000,261.500000,174598
2019-04-04,261.799988,262.000000,254.899994,258.950012,258.950012,44743643
2019-04-05,261.000000,263.750000,259.299988,262.149994,262.149994,171826
2019-04-08,263.000000,265.200012,260.600006,263.649994,263.649994,157328
2019-04-09,264.000000,274.799988,263.899994,273.450012,273.450012,504315
2019-04-10,278.500000,281.799988,275.000000,281.000000,281.000000,1093348
2019-04-11,283.500000,284.549988,280.250000,281.299988,281.299988,685544
2019-04-12,282.649994,284.700012,281.649994,283.600006,283.600006,396821
2019-04-15,285.000000,289.899994,284.350006,288.149994,288.149994,482925
2019-04-16,291.299988,291.950012,278.100006,281.100006,281.100006,1428204
2019-04-18,289.399994,289.649994,281.000000,284.799988,284.799988,2505705
2019-04-22,285.899994,288.799988,285.750000,288.250000,288.250000,888020
2019-04-23,289.649994,291.950012,287.000000,291.299988,291.299988,506404
2019-04-24,292.049988,294.100006,290.299988,293.100006,293.100006,519381
2019-04-25,294.000000,295.750000,293.000000,295.250000,295.250000,336688
2019-04-26,295.950012,296.750000,293.350006,294.350006,294.350006,955980
2019-04-30,294.500000,299.200012,294.500000,298.399994,298.399994,315054
2019-05-02,299.000000,299.250000,293.000000,293.549988,293.549988,263668
2019-05-03,293.549988,293.549988,289.100006,291.000000,291.000000,384438
2019-05-06,290.899994,293.799988,289.649994,290.899994,290.899994,274517
2019-05-07,293.000000,294.899994,290.399994,293.700012,293.700012,178248
2019-05-08,293.000000,293.799988,290.200012,290.799988,290.799988,179012
2019-05-09,291.399994,293.100006,290.600006,291.000000,291.000000,155937
2019-05-10,291.799988,292.450012,290.100006,290.549988,290.549988,125377
2019-05-13,290.549988,292.700012,288.500000,289.250000,289.250000,214237
2019-05-14,289.600006,289.700012,283.000000,284.299988,284.299988,572591
2019-05-15,286.000000,286.000000,283.000000,283.649994,283.649994,298709
2019-05-16,284.399994,287.049988,284.000000,285.799988,285.799988,182280
2019-05-17,285.899994,289.899994,285.549988,286.750000,286.750000,238282
2019-05-20,289.700012,290.850006,287.500000,290.049988,290.049988,289346
2019-05-21,290.149994,291.000000,286.200012,286.850006,286.850006,187789
2019-05-22,287.100006,287.100006,281.000000,283.200012,283.200012,718842
2019-05-23,286.700012,286.700012,281.500000,282.149994,282.149994,429525
2019-05-24,283.000000,284.750000,279.950012,283.149994,283.149994,466761
2019-05-27,284.500000,284.649994,280.100006,280.450012,280.450012,538354
2019-05-28,281.000000,285.899994,279.799988,284.299988,284.299988,500485
2019-05-29,285.000000,288.500000,283.100006,285.899994,285.899994,345789
2019-05-30,286.049988,289.899994,285.600006,288.299988,288.299988,291032
2019-05-31,288.000000,290.049988,285.000000,286.549988,286.549988,642872
2019-06-03,288.500000,291.899994,287.100006,291.299988,291.299988,302007
2019-06-04,294.399994,296.000000,290.850006,293.899994,293.899994,836656
2019-06-06,294.500000,294.700012,291.500000,292.000000,292.000000,678911
2019-06-07,292.399994,296.000000,292.049988,295.049988,295.049988,371911
2019-06-10,296.299988,298.250000,296.000000,297.200012,297.200012,422980
2019-06-11,297.799988,299.500000,296.500000,297.899994,297.899994,349456
2019-06-12,298.299988,298.799988,296.850006,298.000000,298.000000,292250
2019-06-13,298.700012,299.000000,297.200012,298.799988,298.799988,304087
2019-06-14,298.549988,301.549988,298.200012,298.950012,298.950012,487675
2019-06-17,300.000000,300.899994,298.899994,299.250000,299.250000,482987
2019-06-18,299.250000,300.649994,296.000000,297.799988,297.799988,727285
2019-06-19,297.899994,299.399994,292.299988,293.950012,293.950012,952467
2019-06-20,283.049988,287.549988,282.450012,286.850006,286.850006,375748
2019-06-21,287.100006,290.049988,284.450012,285.799988,285.799988,174247
